id	device_type	instrument_type	wattage	purpose	position	unit_number	color	dimmer	channel	address	universe	u_address	circuit_number	circuit_name	system	user_field_1	user_field_2	user_field_3	user_field_4	user_field_5	user_field_6	num_channels	frame_size	field_angle	field_angle_2	beam_angle	beam_angle_2	weight	gobo_1	gobo_1_rotation	gobo_2	gobo_2_rotation	gobo_shift	mark	draw_beam	draw_beam_as_3d_solid	use_vertical_beam	show_beam_at	falloff_distance	lamp_rotation_angle	top_shutter_depth	top_shutter_angle	left_shutter_depth	left_shutter_angle	right_shutter_depth	right_shutter_angle	bottom_shutter_depth	bottom_shutter_angle	symbol_name	use_legend	flip_front_and_back_legend_text	flip_left_and_right_legend_text	focus	set_3d_orientation	x_rotation	y_rotation	x_location	y_location	z_location	fixtureid	__uid	accessories	created_at	updated_at	production_id
52	Light	S4 PAR WFL	575W	DOWN WASH	B1	7	-	181	-	-	-	-	-	-	A	-	-	-	-	-	-	1	7.5	36°	17°	20°	12°	7.5lbs	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Source 4 PAR WFL	FOH	False	False	-	False	0	0	-18'7.554	37'6.844	0	-	1886.1.1.0.0	-	2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
53																																																															2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
54	Static Accessory	Iris	-	-	A1	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	0°	17°	0°	12°	-	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Iris	-	False	False	-	False	0	0	-21'6.867	46'2.513	216'0	-	1891.1.1.0.0	-	2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
55																																																															2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
56	Static Accessory	Iris	-	-	A2	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	0°	17°	0°	12°	-	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Iris	-	False	False	-	False	0	0	-10'7.927	47'9.964	216'0	-	1892.1.1.0.0	-	2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
57																																																															2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
58	Static Accessory	Iris	-	-	A3	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	0°	17°	0°	12°	-	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Iris	-	False	False	-	False	0	0	-7.927	47'9.964	216'0	-	1893.1.1.0.0	-	2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
59																																																															2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
60	Static Accessory	Iris	-	-	A4	2	-	-	-	-	-	-	-	-	A	-	-	-	-	-	-	1	-	0°	17°	0°	12°	-	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Iris	-	False	False	-	False	0	0	9'3.95	48'1.889	216'0	-	1855.1.1.0.0	-	2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
61																																																															2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
62	Static Accessory	Iris	-	-	A5	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	0°	17°	0°	12°	-	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Iris	-	False	False	-	False	0	0	20'10.777	46'2.116	216'0	-	1895.1.1.0.0	-	2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
63																																																															2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
64	Light	S4 PAR WFL	575W	DOWN WASH	B5	1	-	293	-	-	-	-	-	-	A	-	-	-	-	-	-	1	7.5	36°	17°	20°	12°	7.5lbs	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Source 4 PAR WFL	FOH	False	False	-	False	0	0	17'4.446	37'6.844	0	-	1897.1.1.0.0	-	2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
65																																																															2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
66	Light	PAR 64 MFL	1KW	PAR HIGH SIDES SL	E5	5	-	301	-	-	-	-	-	-	A	-	-	-	-	-	-	1	10	45°	17°	22°	12°	8lbs	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Par64 MFL*#	FOH	False	False	-	False	0	0	23'9.669	4'1.034	0	-	1583.1.1.0.0	-	2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
67																																																															2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
68	Light	PAR 64 MFL	1KW	PAR HIGH SIDES SL	E4	5	-	268	-	-	-	-	-	-	A	-	-	-	-	-	-	1	10	45°	17°	22°	12°	8lbs	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Par64 MFL*#	FOH	False	False	-	False	0	0	13'8.669	4'1.021	0	-	1584.1.1.0.0	-	2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
69																																																															2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
70	Light	PAR 64 MFL	1KW	PAR HIGH SIDES SL	E3	7	-	233	-	-	-	-	-	-	A	-	-	-	-	-	-	1	10	45°	17°	22°	12°	8lbs	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Par64 MFL*#	FOH	False	False	-	False	0	0	3'11.861	4'1.034	0	-	1587.1.1.0.0	-	2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
71																																																															2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
72	Light	PAR 64 MFL	1KW	PAR HIGH SIDES SR	E2	4	-	161	-	-	-	-	-	-	A	-	-	-	-	-	-	1	10	45°	17°	22°	12°	8lbs	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Par64 MFL*#	FOH	False	False	-	False	0	0	-14'8.331	4'1.034	0	-	1592.1.1.0.0	-	2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
73																																																															2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
74	Light	S4 PAR WFL	575W	DOWN WASH	D3	2	-	203	-	-	-	-	-	-	A	-	-	-	-	-	-	1	7.5	36°	17°	20°	12°	7.5lbs	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Source 4 PAR WFL	FOH	False	False	-	False	0	0	-3'8.439	14'11.534	0	-	1905.1.1.0.0	-	2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
75																																																															2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
76	Light	S4 PAR WFL	575W	DOWN WASH	D3	4	-	239	-	-	-	-	-	-	A	-	-	-	-	-	-	1	7.5	36°	17°	20°	12°	7.5lbs	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Source 4 PAR WFL	FOH	False	False	-	False	0	0	2'.251	14'11.456	0	-	1906.1.1.0.0	-	2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
77																																																															2016-02-01 19:44:45 UTC	2016-02-01 19:44:45 UTC	1
78	Light	S4 PAR WFL	575W	DOWN WASH	D2	1	-	167	-	-	-	-	-	-	A	-	-	-	-	-	-	1	7.5	36°	17°	20°	12°	7.5lbs	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Source 4 PAR WFL	FOH	False	False	-	False	0	0	-13'1.554	15'.807	0	-	1907.1.1.0.0	-	2016-02-01 19:44:45 UTC	2016-02-01 19:44:45 UTC	1
79																																																															2016-02-01 19:44:45 UTC	2016-02-01 19:44:45 UTC	1
80	Light	S4 PAR WFL	575W	DOWN WASH	D4	3	-	275	-	-	-	-	-	-	A	-	-	-	-	-	-	1	7.5	36°	17°	20°	12°	7.5lbs	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Source 4 PAR WFL	FOH	False	False	-	False	0	0	11'10.446	15'.781	0	-	1908.1.1.0.0	-	2016-02-01 19:44:45 UTC	2016-02-01 19:44:45 UTC	1
81																																																															2016-02-01 19:44:45 UTC	2016-02-01 19:44:45 UTC	1
82	Light	S4 PAR WFL	575W	DOWN WASH	D5	2	-	308	-	-	-	-	-	-	A	-	-	-	-	-	-	1	7.5	36°	17°	20°	12°	7.5lbs	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Source 4 PAR WFL	FOH	False	False	-	False	0	0	19'.148	14'9.066	0	-	1909.1.1.0.0	-	2016-02-01 19:44:45 UTC	2016-02-01 19:44:45 UTC	1
83																																																															2016-02-01 19:44:45 UTC	2016-02-01 19:44:45 UTC	1
84	Light	S4 PAR WFL	575W	DOWN WASH	D1	2	-	131	-	-	-	-	-	-	A	-	-	-	-	-	-	1	7.5	36°	17°	20°	12°	7.5lbs	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Source 4 PAR WFL	FOH	False	False	-	False	0	0	-20'2.293	14'8.382	0	-	1910.1.1.0.0	-	2016-02-01 19:44:45 UTC	2016-02-01 19:44:45 UTC	1
85																																																															2016-02-01 19:44:45 UTC	2016-02-01 19:44:45 UTC	1
86	Static Accessory	7.5 4 Leaf Barn Door	-	-	B1	7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	0°	17°	0°	12°	-	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	7.5 2 Leaf Barn Door	-	False	False	-	False	0	0	-18'7.414	37'10.656	216'0	-	1917.1.1.0.0	-	2016-02-01 19:44:45 UTC	2016-02-01 19:44:45 UTC	1
87																																																															2016-02-01 19:44:45 UTC	2016-02-01 19:44:45 UTC	1
88	Static Accessory	7.5 4 Leaf Barn Door	-	-	B2	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	0°	17°	0°	12°	-	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	7.5 2 Leaf Barn Door	-	False	False	-	False	0	0	-8'4.554	37'11.123	216'0	-	1918.1.1.0.0	-	2016-02-01 19:44:45 UTC	2016-02-01 19:44:45 UTC	1
89																																																															2016-02-01 19:44:45 UTC	2016-02-01 19:44:45 UTC	1
90	Static Accessory	7.5 2 Leaf Barn Door	-	-	B3	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	0°	17°	0°	12°	-	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	7.5 2 Leaf Barn Door	-	False	False	-	False	0	0	7'1.429	38'1.882	0	-	1919.1.1.0.0	-	2016-02-01 19:44:45 UTC	2016-02-01 19:44:45 UTC	1
91																																																															2016-02-01 19:44:45 UTC	2016-02-01 19:44:45 UTC	1
92	Static Accessory	7.5 4 Leaf Barn Door	-	-	D1	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	0°	17°	0°	12°	-	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	7.5 2 Leaf Barn Door	-	False	False	-	False	0	0	-20'2.293	15'.622	216'0	-	1928.1.1.0.0	-	2016-02-01 19:44:45 UTC	2016-02-01 19:44:45 UTC	1
93																																																															2016-02-01 19:44:45 UTC	2016-02-01 19:44:45 UTC	1
