Device Type	Instrument Type	Wattage	Purpose	Position	Unit Number	Color	Dimmer	Channel	Address	Universe	U Address	Circuit Number	Circuit Name	System	User Field 1	User Field 2	User Field 3	User Field 4	User Field 5	User Field 6	Num Channels	Frame Size	Field Angle	Field Angle 2	Beam Angle	Beam Angle 2	Weight	Gobo 1	Gobo 1 Rotation	Gobo 2	Gobo 2 Rotation	Gobo Shift	Mark	Draw Beam	Draw Beam as 3D Solid	Use Vertical Beam	Show Beam at	Falloff Distance	Lamp Rotation Angle	Top Shutter Depth	Top Shutter Angle	Left Shutter Depth	Left Shutter Angle	Right Shutter Depth	Right Shutter Angle	Bottom Shutter Depth	Bottom Shutter Angle	Symbol Name	Use Legend	Flip Front && Back Legend Text	Flip Left && Right Legend Text	Focus	Set 3D Orientation	X Rotation	Y Rotation	X Location	Y Location	Z Location	FixtureID	__UID	Accessories
Static Accessory	42	7.5 4 Leaf Barn Door	0	-	B1	7	-	0	0	0	-	-	0	-	-	-	-	-	-	-	-	1	0.0	0°	17°	0°	12°	-	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	7.5 2 Leaf Barn Door	-	False	False	-	False	0	0	-18'7.414	37'10.656	216'0	-	1917.1.1.0.0	313	2016-02-02 19:45:15 UTC	2016-02-02 19:45:15 UTC	""
Light	314	S4 PAR WFL	575	DOWN WASH	B5	1	-	293	0	0	-	-	0	-	A	-	-	-	-	-	-	1	7.5	36°	17°	20°	12°	7.5lbs	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Source 4 PAR WFL	FOH	False	False	-	False	0	0	17'4.446	37'6.844	0	-	1897.1.1.0.0	4	2016-02-02 19:45:13 UTC	2016-02-02 19:45:13 UTC	""
Light	315	PAR 64 MFL	1	PAR HIGH SIDES SL	E5	5	-	301	0	0	-	-	0	-	A	-	-	-	-	-	-	1	10.0	45°	17°	22°	12°	8lbs	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Par64 MFL*#	FOH	False	False	-	False	0	0	23'9.669	4'1.034	0	-	1583.1.1.0.0	4	2016-02-02 19:45:13 UTC	2016-02-02 19:45:13 UTC	""
Light	316	PAR 64 MFL	1	PAR HIGH SIDES SL	E4	5	-	268	0	0	-	-	0	-	A	-	-	-	-	-	-	1	10.0	45°	17°	22°	12°	8lbs	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Par64 MFL*#	FOH	False	False	-	False	0	0	13'8.669	4'1.021	0	-	1584.1.1.0.0	4	2016-02-02 19:45:13 UTC	2016-02-02 19:45:13 UTC	""
Light	317	PAR 64 MFL	1	PAR HIGH SIDES SL	E3	7	-	233	0	0	-	-	0	-	A	-	-	-	-	-	-	1	10.0	45°	17°	22°	12°	8lbs	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Par64 MFL*#	FOH	False	False	-	False	0	0	3'11.861	4'1.034	0	-	1587.1.1.0.0	4	2016-02-02 19:45:13 UTC	2016-02-02 19:45:13 UTC	""
Light	318	PAR 64 MFL	1	PAR HIGH SIDES SR	E2	4	-	161	0	0	-	-	0	-	A	-	-	-	-	-	-	1	10.0	45°	17°	22°	12°	8lbs	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Par64 MFL*#	FOH	False	False	-	False	0	0	-14'8.331	4'1.034	0	-	1592.1.1.0.0	4	2016-02-02 19:45:13 UTC	2016-02-02 19:45:13 UTC	""
Light	319	S4 PAR WFL	575	DOWN WASH	D3	2	-	203	0	0	-	-	0	-	A	-	-	-	-	-	-	1	7.5	36°	17°	20°	12°	7.5lbs	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Source 4 PAR WFL	FOH	False	False	-	False	0	0	-3'8.439	14'11.534	0	-	1905.1.1.0.0	4	2016-02-02 19:45:13 UTC	2016-02-02 19:45:13 UTC	""
Static Accessory	46	7.5 4 Leaf Barn Door	0	-	D3	2	-	0	0	0	-	-	0	-	-	-	-	-	-	-	-	1	0.0	0°	17°	0°	12°	-	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	7.5 2 Leaf Barn Door	-	False	False	-	False	0	0	-3'8.439	15'3.869	216'0	-	1929.1.1.0.0	319	2016-02-02 19:45:15 UTC	2016-02-02 19:45:15 UTC	""
Light	320	S4 PAR WFL	575	DOWN WASH	D3	4	-	239	0	0	-	-	0	-	A	-	-	-	-	-	-	1	7.5	36°	17°	20°	12°	7.5lbs	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Source 4 PAR WFL	FOH	False	False	-	False	0	0	2'.251	14'11.456	0	-	1906.1.1.0.0	4	2016-02-02 19:45:13 UTC	2016-02-02 19:45:13 UTC	""
Static Accessory	47	7.5 4 Leaf Barn Door	0	-	D3	4	-	0	0	0	-	-	0	-	-	-	-	-	-	-	-	1	0.0	0°	17°	0°	12°	-	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	7.5 2 Leaf Barn Door	-	False	False	-	False	0	0	2'.251	15'3.041	216'0	-	1930.1.1.0.0	320	2016-02-02 19:45:15 UTC	2016-02-02 19:45:15 UTC	""
